NAME,Grouping
Arcane Sanctum,lands
Crumbling Necropolis,lands
Jungle Shrine,lands
Seaside Citadel,lands
Nomad Outpost,lands
Mystic Monastery,lands
Opulent Palace,lands
Sandsteppe Citadel,lands
Frontier Bivouac,lands
Savage Lands,lands
Adarkar Wastes,lands
Underground River,lands
Sulfurous Springs,lands
Karplusan Forest,lands
Brushland,lands
Caves of Koilos,lands
Llanowar Wastes,lands
Yavimaya Coast,lands
Shivan Reef,lands
Battlefield Forge,lands
Lumbering Falls,lands
Stirring Wildwood,lands
Shambling Vent,lands
Raging Ravine,lands
Hissing Quagmire,lands
Lavaclaw Reaches,lands
Wandering Fumarole,lands
Needle Spires,lands
Darkwater Catacombs,lands
Nimbus Maze,lands
Port Town,lands
Choked Estuary,lands
Foreboding Ruins,lands
Game Trail,lands
Fortified Village,lands
Canopy Vista,lands
Cinder Glade,lands
Prairie Stream,lands
Smoldering Marsh,lands
Sunken Hollow,lands
Temple of Silence,lands
Temple of Malady,lands
Temple of Mystery,lands
Temple of Epiphany,lands
Temple of Triumph,lands
Scoured Barrens,lands
Swiftwater Cliffs,lands
Jungle Hollow,lands
Wind-Scarred Crag,lands
Thornwood Falls,lands
Bant Panorama,lands
Esper Panorama,lands
Grixis Panorama,lands
Jund Panorama,lands
Naya Panorama,lands
Mishra's Factory,lands
Evolving Wilds,lands
Terramorphic Expanse,lands
Ash Barrens,lands
Mirrodin's Core,lands
Shimmering Grotto,lands
Unknown Shores,lands
Unstable Frontier,lands
Aether Hub,lands
Grand Coliseum,lands
Rupture Spire,lands
Transguild Promenade,lands
Vivid Creek,lands
Vivid Grove,lands
Vivid Crag,lands
Vivid Marsh,lands
Vivid Meadow,lands
Perilous Myr,colorless_creatures
Scrapheap Scrounger,colorless_creatures
Epochrasite,colorless_creatures
Phyrexian Revoker,colorless_creatures
Filigree Familiar,colorless_creatures
Palladium Myr,colorless_creatures
Scuttlemutt,colorless_creatures
Solemn Simulacrum,colorless_creatures
Crystalline Crawler,colorless_creatures
Molten-Tail Masticore,colorless_creatures
Lodestone Golem,colorless_creatures
Precursor Golem,colorless_creatures
Triskelion,colorless_creatures
Duplicant,colorless_creatures
Steel Hellkite,colorless_creatures
Myr Battlesphere,colorless_creatures
Sundering Titan,colorless_creatures
Ancient Stone Idol,colorless_creatures
Matter Reshaper,colorless_creatures
Reality Smasher,colorless_creatures
Oblivion Sower,colorless_creatures
Endbringer,colorless_creatures
Bane of Bala Ged,colorless_creatures
Artisan of Kozilek,colorless_creatures
Everflowing Chalice,colorless_non_creatures
Bonesplitter,colorless_non_creatures
Pithing Needle,colorless_non_creatures
Wayfarer's Bauble,colorless_non_creatures
Prismatic Lens,colorless_non_creatures
Shrine of Burning Rage,colorless_non_creatures
Swiftfoot Boots,colorless_non_creatures
Smuggler's Copter,colorless_non_creatures
Armillary Sphere,colorless_non_creatures
Mind Stone,colorless_non_creatures
Coldsteel Heart,colorless_non_creatures
Simic Signet,colorless_non_creatures
Boros Signet,colorless_non_creatures
Izzet Signet,colorless_non_creatures
Golgari Signet,colorless_non_creatures
Orzhov Signet,colorless_non_creatures
Talisman of Progress,colorless_non_creatures
Talisman of Dominance,colorless_non_creatures
Talisman of Impulse,colorless_non_creatures
Talisman of Indulgence,colorless_non_creatures
Talisman of Unity,colorless_non_creatures
Sphere of the Suns,colorless_non_creatures
Cryptolith Fragment,colorless_non_creatures
Worn Powerstone,colorless_non_creatures
Basalt Monolith,colorless_non_creatures
Grafted Wargear,colorless_non_creatures
Crystal Shard,colorless_non_creatures
Loxodon Warhammer,colorless_non_creatures
Fleetwheel Cruiser,colorless_non_creatures
Mimic Vat,colorless_non_creatures
Erratic Portal,colorless_non_creatures
Icy Manipulator,colorless_non_creatures
Hedron Archive,colorless_non_creatures
Nevinyrral's Disk,colorless_non_creatures
Loreseeker’s Stone,colorless_non_creatures
Staff of Nin,colorless_non_creatures
Llanowar Elves,green_creatures
Elvish Mystic,green_creatures
Fyndhorn Elves,green_creatures
Joraga Treespeaker,green_creatures
Arbor Elf,green_creatures
Experiment One,green_creatures
Avacyn's Pilgrim,green_creatures
Ulvenwald Tracker,green_creatures
Sakura-Tribe Elder,green_creatures
Scavenging Ooze,green_creatures
Sylvan Caryatid,green_creatures
Wall of Roots,green_creatures
Den Protector,green_creatures
Wall of Blossoms,green_creatures
Strangleroot Geist,green_creatures
Duskwatch Recruiter,green_creatures
Courser of Kruphix,green_creatures
Reclamation Sage,green_creatures
Yavimaya Elder,green_creatures
Thrashing Brontodon,green_creatures
"Rishkar, Peema Renegade",green_creatures
Wolfir Avenger,green_creatures
Caller of the Claw,green_creatures
Phantom Nantuko,green_creatures
"Polukranos, World Eater",green_creatures
"Goreclaw, Terror of Qal Sisma",green_creatures
Forgotten Ancient,green_creatures
Wickerbough Elder,green_creatures
Masked Admirers,green_creatures
Vine Mare,green_creatures
Beast Whisperer,green_creatures
Thragtusk,green_creatures
Acidic Slime,green_creatures
Verdurous Gearhulk,green_creatures
Wolfir Silverheart,green_creatures
Whisperwood Elemental,green_creatures
Soul of Zendikar ,green_creatures
"Silvos, Rogue Elemental",green_creatures
Cloudthresher,green_creatures
Avenger of Zendikar,green_creatures
Hornet Queen,green_creatures
Pelakka Wurm,green_creatures
Terastodon,green_creatures
Woodfall Primus,green_creatures
Rancor,green_non_creatures
Nature's Claim,green_non_creatures
Mutagenic Growth,green_non_creatures
Wild Growth,green_non_creatures
Vines of Vastwood,green_non_creatures
Regrowth,green_non_creatures
Rampant Growth,green_non_creatures
Oath of Druids,green_non_creatures
Channel,green_non_creatures
Edge of Autumn,green_non_creatures
Song of Freyalise,green_non_creatures
Setessan Tactics,green_non_creatures
Kodama's Reach,green_non_creatures
Cultivate,green_non_creatures
Beast Within,green_non_creatures
Search for Tomorrow,green_non_creatures
Curse of Predation,green_non_creatures
Call of the Herd,green_non_creatures
Harrow,green_non_creatures
Harmonize,green_non_creatures
Gaea's Embrace,green_non_creatures
Stonewood Invocation ,green_non_creatures
Pattern of Rebirth,green_non_creatures
Plow Under,green_non_creatures
Primal Command,green_non_creatures
Overwhelming Stampede,green_non_creatures
Selvala's Stampede,green_non_creatures
Seasons Past,green_non_creatures
Zurgo Bellstriker,red_creatures
Falkenrath Gorger,red_creatures
Monastery Swiftspear,red_creatures
Firedrinker Satyr,red_creatures
Stromkirk Noble,red_creatures
Goblin Welder,red_creatures
Soul-Scar Mage,red_creatures
Bomat Courier,red_creatures
Abbot of Keral Keep,red_creatures
Young Pyromancer,red_creatures
Earthshaker Khenra,red_creatures
"Kari Zev, Skyship Raider",red_creatures
Goblin Cratermaker,red_creatures
Stormblood Berserker,red_creatures
Keldon Marauders,red_creatures
Jeering Instigator,red_creatures
Hellspark Elemental,red_creatures
Goblin Rabblemaster,red_creatures
Legion Warboss,red_creatures
Hanweir Garrison,red_creatures
Sin Prodder,red_creatures
Rampaging Ferocidon,red_creatures
Chandra's Phoenix,red_creatures
Pia Nalaar,red_creatures
Dualcaster Mage,red_creatures
Pia and Kiran Nalaar,red_creatures
Hellrider,red_creatures
Flametongue Kavu,red_creatures
Avalanche Riders,red_creatures
Hero of Oxid Ridge,red_creatures
Thundermaw Hellkite,red_creatures
Siege-Gang Commander,red_creatures
Glorybringer,red_creatures
Zealous Conscripts,red_creatures
"Kiki-Jiki, Mirror Breaker",red_creatures
Inferno Titan,red_creatures
Lightning Bolt,red_non_creatures
Burst Lightning,red_non_creatures
Faithless Looting,red_non_creatures
Firebolt,red_non_creatures
Chain Lightning,red_non_creatures
Forked Bolt,red_non_creatures
Flame Slash,red_non_creatures
Brute Force,red_non_creatures
Incinerate,red_non_creatures
Abrade,red_non_creatures
Magma Jet,red_non_creatures
Lightning Strike,red_non_creatures
Searing Spear,red_non_creatures
Arc Trail,red_non_creatures
Pyroclasm,red_non_creatures
Searing Blaze,red_non_creatures
Mizzium Mortars,red_non_creatures
Sulfuric Vortex,red_non_creatures
Staggershock,red_non_creatures
Rift Bolt,red_non_creatures
Char,red_non_creatures
Rift Bolt,red_non_creatures
Brimstone Volley,red_non_creatures
Risk Factor,red_non_creatures
Collective Defiance,red_non_creatures
Stoke the Flames,red_non_creatures
Splinter Twin,red_non_creatures
Outpost Siege,red_non_creatures
"Daretti, Scrap Savant",red_non_creatures
Act of Aggression,red_non_creatures
Fireblast,red_non_creatures
Burning of Xinye,red_non_creatures
Wildfire,red_non_creatures
Fireball,red_non_creatures
Earthquake,red_non_creatures
Bonfire of the Damned,red_non_creatures
Enclave Cryptologist,blue_creatures
Delver of Secrets,blue_creatures
Looter il-Kor,blue_creatures
Stratus Dancer,blue_creatures
Waterfront Bouncer,blue_creatures
Augur of Bolas,blue_creatures
Wharf Infiltrator,blue_creatures
Harbinger of the Tides,blue_creatures
Warkite Marauder,blue_creatures
Man-o'-War,blue_creatures
Champion of Wits,blue_creatures
Pestermite,blue_creatures
Deceiver Exarch,blue_creatures
Exclusion Mage,blue_creatures
Nimble Obstructionist,blue_creatures
"Thada Adel, Acquisitor",blue_creatures
Callous Oppressor,blue_creatures
Phyrexian Metamorph,blue_creatures
Sower of Temptation,blue_creatures
Whirler Rogue,blue_creatures
Murmuring Mystic,blue_creatures
Niblis of Frost,blue_creatures
Mulldrifter,blue_creatures
