NAME,Grouping
Badlands,lands
Bayou,lands
Plateau,lands
Savannah,lands
Scrubland,lands
Taiga,lands
Tropical Island,lands
Tundra,lands
Underground Sea,lands
Volcanic Island,lands
Misty Rainforest,lands
Scalding Tarn,lands
Verdant Catacombs,lands
Bloodstained Mire,lands
Flooded Strand,lands
Polluted Delta,lands
Windswept Heath,lands
Wooded Foothills,lands
Marsh Flats,lands
Arid Mesa,lands
Lumbering Falls,lands
Celestial Colonnade,lands
Creeping Tar Pit,lands
Lavaclaw Reaches,lands
Raging Ravine,lands
Hissing Quagmire,lands
Needle Spires,lands
Wandering Fumarole,lands
Shambling Vent,lands
Horizon Canopy,lands
Hallowed Fountain,lands
Watery Grave,lands
Blood Crypt,lands
Stomping Ground,lands
Temple Garden,lands
Godless Shrine,lands
Steam Vents,lands
Overgrown Tomb,lands
Sacred Foundry,lands
Breeding Pool,lands
Ancient Tomb,lands
Wasteland,lands
Maze of Ith,lands
Library of Alexandria,lands
Mutavault,lands
City of Brass,lands
Strip Mine,lands
Rishadan Port,lands
Gaea's Cradle,lands
Tolarian Academy,lands
Academy Ruins,lands
Karakas,lands
Volrath's Stronghold,lands
"Urborg, Tomb of Yawgmoth",lands
Gemstone Mine,lands
Mishra's Workshop,lands
Walking Ballista,colorless_creatures
Hangarback Walker,colorless_creatures
Scrapheap Scrounger,colorless_creatures
Phyrexian Revoker,colorless_creatures
Spellskite,colorless_creatures
Metalworker,colorless_creatures
Solemn Simulacrum,colorless_creatures
Lodestone Golem,colorless_creatures
Wurmcoil Engine,colorless_creatures
Myr Battlesphere,colorless_creatures
Sundering Titan,colorless_creatures
Blightsteel Colossus,colorless_creatures
Black Lotus,colorless_non_creatures
Mox Emerald,colorless_non_creatures
Mox Jet,colorless_non_creatures
Mox Pearl,colorless_non_creatures
Mox Ruby,colorless_non_creatures
Mox Sapphire,colorless_non_creatures
Mana Crypt,colorless_non_creatures
Mox Diamond,colorless_non_creatures
Chrome Mox,colorless_non_creatures
Aether Vial,colorless_non_creatures
Sensei's Divining Top,colorless_non_creatures
Sol Ring,colorless_non_creatures
Mana Vault,colorless_non_creatures
Skullclamp,colorless_non_creatures
Bonesplitter,colorless_non_creatures
Pithing Needle,colorless_non_creatures
Cursed Scroll,colorless_non_creatures
Smuggler's Copter,colorless_non_creatures
Lightning Greaves,colorless_non_creatures
Coldsteel Heart,colorless_non_creatures
Shrine of Burning Rage,colorless_non_creatures
Sorcerous Spyglass,colorless_non_creatures
Scroll Rack,colorless_non_creatures
Winter Orb,colorless_non_creatures
Grim Monolith,colorless_non_creatures
Umezawa's Jitte,colorless_non_creatures
Basalt Monolith,colorless_non_creatures
Crucible of Worlds,colorless_non_creatures
Sword of Fire and Ice,colorless_non_creatures
Sword of Light and Shadow,colorless_non_creatures
Sword of Feast and Famine,colorless_non_creatures
Sword of Body and Mind,colorless_non_creatures
Sword of War and Peace,colorless_non_creatures
Coalition Relic,colorless_non_creatures
Vedalken Shackles,colorless_non_creatures
Tangle Wire,colorless_non_creatures
Mimic Vat,colorless_non_creatures
Birthing Pod,colorless_non_creatures
Thran Dynamo,colorless_non_creatures
Smokestack,colorless_non_creatures
Nevinyrral's Disk,colorless_non_creatures
Batterskull,colorless_non_creatures
Gilded Lotus,colorless_non_creatures
Memory Jar,colorless_non_creatures
Engineered Explosives,colorless_non_creatures
Dismember,colorless_non_creatures
"Karn, Scion of Urza",colorless_non_creatures
Karn Liberated,colorless_non_creatures
"Ugin, the Spirit Dragon",colorless_non_creatures
"Ulamog, the Ceaseless Hunger",colorless_non_creatures
"Emrakul, the Promised End",colorless_non_creatures
"Emrakul, the Aeons Torn",colorless_non_creatures
Birds of Paradise,green_creatures
Noble Hierarch,green_creatures
Llanowar Elves,green_creatures
Elvish Mystic,green_creatures
Fyndhorn Elves,green_creatures
Joraga Treespeaker,green_creatures
Arbor Elf,green_creatures
Avacyn's Pilgrim,green_creatures
Sakura-Tribe Elder,green_creatures
Scavenging Ooze,green_creatures
Sylvan Caryatid,green_creatures
Lotus Cobra,green_creatures
Wall of Roots,green_creatures
"Rofellos, Llanowar Emissary",green_creatures
Fauna Shaman,green_creatures
Den Protector,green_creatures
Tarmogoyf,green_creatures
Duskwatch Recruiter,green_creatures
Eternal Witness,green_creatures
Courser of Kruphix,green_creatures
Tireless Tracker,green_creatures
Ramunap Excavator,green_creatures
"Nissa, Vastwood Seer",green_creatures
Reclamation Sage,green_creatures
Yavimaya Elder,green_creatures
Thrashing Brontodon,green_creatures
"Polukranos, World Eater",green_creatures
"Thrun, the Last Troll",green_creatures
Oracle of Mul Daya,green_creatures
Thragtusk,green_creatures
Acidic Slime,green_creatures
Verdurous Gearhulk,green_creatures
Deranged Hermit,green_creatures
Kalonian Hydra,green_creatures
Primeval Titan,green_creatures
Carnage Tyrant,green_creatures
Hornet Queen,green_creatures
Terastodon,green_creatures
Woodfall Primus,green_creatures
Craterhoof Behemoth,green_creatures
Oath of Nissa,green_non_creatures
Fastbond,green_non_creatures
Worldly Tutor,green_non_creatures
Regrowth,green_non_creatures
Survival of the Fittest,green_non_creatures
Sylvan Library,green_non_creatures
Channel,green_non_creatures
Life from the Loam,green_non_creatures
Cultivate,green_non_creatures
Song of the Dryads,green_non_creatures
Heartbeat of Spring,green_non_creatures
Garruk Wildspeaker,green_non_creatures
Natural Order,green_non_creatures
Garruk Relentless,green_non_creatures
Eureka,green_non_creatures
"Nissa, Worldwaker",green_non_creatures
Tooth and Nail,green_non_creatures
Green Sun's Zenith,green_non_creatures
Zurgo Bellstriker,red_creatures
Falkenrath Gorger,red_creatures
Grim Lavamancer,red_creatures
Goblin Guide,red_creatures
Monastery Swiftspear,red_creatures
Goblin Welder,red_creatures
Firedrinker Satyr,red_creatures
Young Pyromancer,red_creatures
Abbot of Keral Keep,red_creatures
Dire Fleet Daredevil,red_creatures
Earthshaker Khenra,red_creatures
Goblin Cratermaker,red_creatures
"Kari Zev, Skyship Raider",red_creatures
